,公司代號,公司名稱,營業收入,營業成本,原始認列生物資產及農產品之利益（損失）,營業毛利（毛損）,生物資產當期公允價值減出售成本之變動利益（損失）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
1581,8932,宏大拉鍊,566804,508584,,58220,,,,58220,70251,,-12031,-995,-13026,-11114,-1912,,,-1912,-2538,,-4450,-1912,,0,-4450,,0,-0.04
1582,8933,愛地雅,2100136,1959843,,140293,,,,140293,193372,,-53079,-10913,-63992,23340,-87332,,,-87332,-37537,,-124869,-87135,,-197,-124672,,-197,-0.49
1583,8934,衡平,249344,182575,,66769,,,,66769,34489,,32280,5119,37399,30496,6903,,,6903,1870,,8773,6903,,,8773,,,0.81
1584,8935,邦泰,373932,350293,,23639,,,,23639,78480,,-54841,-2393,-57234,-3914,-53320,,,-53320,5306,,-48014,-53320,,,-48014,,,-0.63
1585,8936,國統國際,2221631,1782971,,438660,,,,438660,138218,,300442,-52912,247530,44687,202843,,,202843,8869,,211712,193503,,9340,198428,,13284,0.86
1586,8937,合騏工業,161931,150156,,11775,,,,11775,29325,,-17550,11121,-6429,-8210,1781,,,1781,-4204,,-2423,1781,,,-2423,0,0,0.03
1587,8938,明安,5360851,4679642,,681209,,,,681209,477308,57001,260902,60998,321900,73181,248719,,,248719,19310,,268029,244369,,4350,263679,,4350,1.81
1588,8940,新天地,814893,418676,,396217,,,,396217,370881,,25336,-333,25003,8393,16610,,,16610,1584,,18194,15778,,832,17362,,832,0.23
1589,8941,關中,1260964,913666,,347298,,,,347298,346900,,398,52871,53269,1044,52225,,,52225,9996,,62221,55321,,-3096,64449,,-2228,2.34
1590,8942,森鉅,2496884,1584494,,912390,,613,646,912423,293287,,619136,170026,789162,90978,698184,,,698184,4604,,702788,690475,,7709,695079,,7709,4.21
1591,8996,高力,904635,628316,,276319,,,,276319,134194,,142125,32905,175030,32920,142110,,,142110,12257,,154367,142110,,,154367,,,1.59
1592,9802,鈺齊-KY,4784741,3954605,,830136,,,,830136,475420,,354716,33453,388169,51392,336777,,,336777,144163,,480940,338896,,-2119,482538,,-1598,2.33
1593,9902,台火,28827,28307,,520,,,,520,13124,,-12604,11717,-887,0,-887,,,-887,0,,-887,-928,,41,-928,,41,-0.01
1594,9904,寶成工業,141417049,105400384,,36016665,,,,36016665,29699738,,6316927,3365874,9682801,2016732,7666069,,,7666069,-8331758,,-665689,4869182,,2796887,-4542328,,3876639,1.65
1595,9905,大華金,3704069,3204405,,499664,,,,499664,277182,,222482,27150,249632,31212,218420,,,218420,24077,,242497,221867,,-3447,248472,,-5975,0.73
1596,9906,欣巴巴,222696,173184,,49512,,,,49512,52840,,-3328,-3614,-6942,232,-7174,,,-7174,0,,-7174,-7174,,,-7174,,,-0.1
1597,9907,統一實業,17614294,15695616,,1918678,,,,1918678,1219546,,699132,1106138,1805270,534038,1271232,,,1271232,-7697,,1263535,1174363,,96869,1161408,,102127,0.74
1598,9908,大台北,2081175,1644239,,436936,,,,436936,121704,-3495,311737,64384,376121,91717,284404,,,284404,46354,,330758,271749,,12655,320557,,10201,0.54
1599,9910,豐泰企業,30471778,23533018,,6938760,,,,6938760,3977312,,2961448,654072,3615520,1195794,2419726,,,2419726,237265,,2656991,2179235,,240491,2399566,,257425,3.26
1600,9911,台灣櫻花,2713908,1787110,,926798,,,,926798,585043,,341755,85999,427754,85051,342703,,,342703,-1691,,341012,342703,,,341012,,,1.57
1601,9912,偉聯,361648,249850,,111798,,,,111798,106426,,5372,-1001,4371,1849,2522,,,2522,2111,,4633,2522,,,4633,,,0.05
1602,9914,美利達,12826946,11283199,,1543747,,1521,0,1542226,949769,,592457,539061,1131518,554380,577138,,,577138,106597,,683735,550134,,27004,655919,,27816,1.84
1603,9917,中保,6571428,4150476,,2420952,,,,2420952,1181077,,1239875,-44155,1195720,181559,1014161,,,1014161,34411,,1048572,995879,,18282,1027158,,21414,2.26
1604,9918,欣天然,1218466,891037,,327429,,,,327429,140173,,187256,45881,233137,46425,186712,,,186712,2670,,189382,186712,,,189382,,,1.05
1605,9919,康那香,1711091,1445979,,265112,,,,265112,274986,,-9874,17039,7165,6965,200,,,200,2914,,3114,4537,,-4337,6431,,-3317,0.02
1606,9921,巨大機械,29170458,23591928,,5578530,,,,5578530,3876558,,1701972,127322,1829294,721496,1107798,,,1107798,40628,,1148426,1075958,0,31840,1108222,0,40204,2.87
1607,9924,台灣福興,3923041,3189816,,733225,,,,733225,440905,,292320,65265,357585,98977,258608,,,258608,-9991,,248617,248981,,9627,238930,,9687,1.32
1608,9925,新光保全,3477164,2322900,,1154264,,,,1154264,776325,,377939,154987,532926,84673,448253,,,448253,249701,,697954,418279,,29974,642527,,55427,1.1
1609,9926,新海瓦斯,1171390,907290,,264100,,,,264100,80118,1656,185638,8740,194378,39397,154981,,,154981,28257,,183238,154981,,,183238,,,0.86
1610,9927,泰銘,5524831,4988911,,535920,,,,535920,115169,,420751,9685,430436,129970,300466,,,300466,454948,,755414,297909,,2557,752846,,2568,1.42
1611,9928,中視,359626,421921,,-62295,,,,-62295,88851,,-151146,20620,-130526,0,-130526,,,-130526,,,-130526,-130526,,0,-130526,,0,-0.87
1612,9929,秋雨,346522,317633,,28889,,,,28889,32479,,-3590,10338,6748,603,6145,,,6145,28145,,34290,6145,,,34290,,,0.04
1613,9930,中聯資源,4453487,3763871,,689616,,,,689616,214403,,475213,-4290,470923,110108,360815,0,,360815,-17330,,343485,355588,,5227,339167,,4318,1.43
1614,9931,欣高,826645,650841,,175804,,,,175804,36952,,138852,25440,164292,30208,134084,,,134084,5197,,139281,131493,,2591,136595,,2686,1.29
1615,9933,中鼎工程,27896747,25892560,,2004187,,,,2004187,903974,,1100213,193963,1294176,311733,982443,,,982443,98084,,1080527,727722,,254721,817376,,263151,0.95
1616,9934,成霖企業,9011629,6709264,,2302365,,,,2302365,2079599,,222766,49376,272142,71626,200516,,,200516,62557,,263073,200065,,451,262622,,451,0.55
1617,9935,慶豐富,2038850,1653378,,385472,,,,385472,230173,,155299,671,155970,41271,114699,,,114699,44360,,159059,114699,,0,159059,,0,0.75
1618,9937,全國,10972718,9808321,,1164397,,,,1164397,760114,,404283,56882,461165,80021,381144,,,381144,-7784,,373360,,,,,,,1.23
1619,9938,台灣百和,5890926,3643983,,2246943,,,,2246943,1149313,,1097630,-51730,1045900,280097,765803,,,765803,74635,,840438,683412,,82391,765288,,75150,2.29
1620,9939,宏全,10317288,8368136,,1949152,,,,1949152,907769,,1041383,-11906,1029477,261877,767600,,,767600,-63950,,703650,752880,,14720,689672,,13978,2.57
1621,9940,信義房屋,5085946,3678682,,1407264,,,,1407264,719858,,687406,90428,777834,311788,466046,,,466046,108227,,574273,476831,,-10785,585056,,-10783,0.65
